,Firm,Date,Headlines,Label,Description,Open,Close
0,Alphabet,03-30-2020,Alphabet: A Proven Resilient Stock Selling At A Discount - Seeking Alpha,1,https://seekingalpha.com/article/4334956-alphabet-proven-resilient-stock-selling-discount,1132.6400146484375,1146.31005859375
1,Alphabet,03-30-2020,Should You Buy Alphabet Inc Class A (GOOGL) Stock Monday? - InvestorsObserver,1,https://www.investorsobserver.com/news/stock-update/should-you-buy-alphabet-inc-class-a-googl-stock-monday,1132.6400146484375,1146.31005859375
2,Alphabet,03-30-2020,Alphabet Inc. [GOOGL] – A Stock with value that transcends speculation - The Dwinnex,1,https://dwinnex.com/2020/03/30/alphabet-inc-googl-a-stock-with-value-that-transcends-speculation/,1132.6400146484375,1146.31005859375
3,Alphabet,03-31-2020,Alphabet Inc. [GOOGL] moved up 3.25: Why It’s Important - The DBT News,1,https://dbtnews.com/2020/03/31/alphabet-inc-googl-moved-up-3-25-why-its-important/,1148.72998046875,1161.949951171875
11,Alphabet,04-06-2020,"Why Alphabet, Facebook, and Twitter Stocks Soared Monday - The Motley Fool",1,https://www.fool.com/investing/2020/04/06/time-sensitive-why-alphabet-facebook-and-twitter-s.aspx,1133.0,1183.18994140625
33,Alphabet,04-17-2020,"Beware The High Valuation:: Alphabet Inc., (NASDAQ: GOOGL) - NasdaqNewsFeed",0,https://nasdaqnewsfeed.com/2020/04/17/beware-the-high-valuation-alphabet-inc-nasdaq-googl/,1281.699951171875,1279.0
47,Alphabet,04-23-2020,Alphabet (GOOGL) Q1 Earnings Expectations - InvestingCube,1,https://www.investingcube.com/alphabet-googl-q1-earnings-expectations/,1265.739990234375,1271.1700439453125
49,Alphabet,04-23-2020,"Jaw dropping facts: Alphabet Inc., (NASDAQ: GOOGL) - Nyse Stock Alerts",1,https://nysestockalerts.com/2020/04/23/jaw-dropping-facts-alphabet-inc-nasdaq-googl/,1265.739990234375,1271.1700439453125
52,Alphabet,04-24-2020,Analysts Offer Insights on Technology Companies: Alphabet (NASDAQ: GOOGL) and Intel (NASDAQ: INTC) - Analyst Ratings,1,https://www.analystratings.com/articles/analysts-offer-insights-on-technology-companies-alphabet-nasdaq-googl-and-intel-nasdaq-intc/,1255.0,1276.5999755859375
65,Alphabet,04-28-2020,What Does Coronavirus-Hit Q1 Earnings Hold for Alphabet? - Yahoo Finance,0,https://finance.yahoo.com/news/does-coronavirus-hit-q1-earnings-130201063.html,1283.199951171875,1232.5899658203125
66,Alphabet,04-28-2020,Alphabet: 1Q Earnings Snapshot - Thehour.com,0,https://www.thehour.com/business/article/Alphabet-1Q-Earnings-Snapshot-15232130.php,1283.199951171875,1232.5899658203125
68,Alphabet,04-28-2020,Alphabet (GOOGL) Received its Third Buy in a Row - Smarter Analyst,0,https://www.smarteranalyst.com/new-blurbs/alphabet-googl-received-its-third-buy-in-a-row-7/,1283.199951171875,1232.5899658203125
