,Firm,Date,Headlines,Label,Description,Open,Close
8,Cisco,03-26-2020,CSCO May 8th Options Begin Trading - Nasdaq,1,https://www.nasdaq.com/articles/csco-may-8th-options-begin-trading-2020-03-26,37.97000122070313,40.58000183105469
16,Cisco,04-02-2020,Where Fundamentals Meet Technicals: CSCO and Review - ElliottWaveTrader,1,https://www.elliottwavetrader.net/p/analysis/Where-Fundamentals-Meet-Technicals-CSCO-and-Review-202004025897078.html,37.84000015258789,39.79999923706055
21,Cisco,04-06-2020,Cisco (CSCO) Webex Sees User Growth Amid Coronavirus Crisis - Nasdaq,1,https://www.nasdaq.com/articles/cisco-csco-webex-sees-user-growth-amid-coronavirus-crisis-2020-04-06,40.459999084472656,41.43000030517578
22,Cisco,04-06-2020,"In Focus: Dirk Holbach CSCO of Global Supply Chain, Henkel - Manufacturing Global",1,https://www.manufacturingglobal.com/supply-chain-management/focus-dirk-holbach-csco-global-supply-chain-henkel,40.459999084472656,41.43000030517578
29,Cisco,04-08-2020,'Nine months of economic pain' - John Chambers - Seeking Alpha,1,https://seekingalpha.com/news/3559193-nine-months-of-economic-pain-john-chambers,41.16999816894531,41.7400016784668
35,Cisco,04-13-2020,Cisco Systems Inc. (CSCO) And Independence Contract Drilling Inc. (ICD) Among Headliners - News RTS,1,https://newsrts.com/2020/04/13/cisco-systems-inc-csco-and-independence-contract-drilling-inc-icd-among-headliners/,41.040000915527344,41.22000122070313
37,Cisco,04-14-2020,Cisco Systems Inc. [CSCO] – Mismatched value: Check Out the Fundamental Analysis - The Dwinnex,1,https://dwinnex.com/2020/04/14/cisco-systems-inc-csco-mismatched-value-check-out-the-fundamental-analysis-3/,41.90999984741211,42.77999877929688
45,Cisco,04-16-2020,"QQQ, MSFT, CSCO, NFLX: Large Inflows Detected at ETF - Nasdaq",0,https://www.nasdaq.com/articles/qqq-msft-csco-nflx%3A-large-inflows-detected-at-etf-2020-04-16,41.7599983215332,41.5
48,Cisco,04-17-2020,Is the Price of CSCO Stock Justified by its Earnings? - InvestorsObserver,1,https://www.investorsobserver.com/news/stock-update/is-the-price-of-csco-stock-justified-by-its-earnings-3,42.25,42.47999954223633
50,Cisco,04-17-2020,5 High-Yield Dividend Stocks to Watch - Motley Fool,1,https://www.fool.com/investing/2020/04/17/5-high-yield-dividend-stocks-to-watch.aspx,42.25,42.47999954223633
58,Cisco,04-22-2020,Does the Market Like CSCO Stock After it Is Up 0.07% in a Week? - InvestorsObserver,1,https://www.investorsobserver.com/news/stock-update/does-the-market-like-csco-stock-after-it-is-up-0-07-in-a-week,41.27000045776367,41.7599983215332
70,Cisco,04-24-2020,"Noteworthy ETF Inflows: TQQQ, MSFT, NFLX, CSCO - Nasdaq",1,https://www.nasdaq.com/articles/noteworthy-etf-inflows%3A-tqqq-msft-nflx-csco-2020-04-24,41.84000015258789,42.52000045776367
71,Cisco,04-24-2020,Trump’s 5G China Security Deadline Will Force Nokia M&A - Forbes,1,https://www.forbes.com/sites/jimosman/2020/04/24/donald-trump-5g-us-china-security-nokia-merger-google/,41.84000015258789,42.52000045776367
17,Cisco,03-30-2020,Cisco: Too Cheap to Be Ignored for Too Long - TheStreet,1,https://www.thestreet.com/technology/cisco-too-cheap-to-be-ignored,39.45000076293945,40.31999969482422
18,Cisco,03-30-2020,Dynamic Growth Stocks: Cisco Systems Inc. (CSCO) and Phillips 66 Partners LP (PSXP) - BOV News,1,https://bovnews.com/2020/03/30/dynamic-growth-stocks-cisco-systems-inc-csco-and-phillips-66-partners-lp-psxp/,39.45000076293945,40.31999969482422
21,Cisco,03-31-2020,How to buy Cisco Systems stock on eToro? eToro Trading Guide - CoinCodex,0,https://coincodex.com/article/7576/how-to-buy-cisco-systems-stock-on-etoro/,40.13000106811523,39.310001373291016
31,Cisco,04-06-2020,"Cisco, Apple, Oracle: Strong Cash Positions Indicate Safe Long-Term Returns - Seeking Alpha",1,https://seekingalpha.com/article/4336040-cisco-apple-oracle-strong-cash-positions-indicate-safe-long-term-returns,40.459999084472656,41.43000030517578
57,Cisco,04-20-2020,Will Cisco’s Stock Come Out Stronger After The Coronavirus? - Forbes,1,https://www.forbes.com/sites/greatspeculations/2020/04/20/will-ciscos-stock-come-out-stronger-after-the-coronavirus/,41.91999816894531,42.540000915527344
65,Cisco,04-22-2020,"Ride Out The Next Market Storm With Cisco Systems Inc. (NASDAQ:CSCO), Brookfield Property Partners L.P. (NASDAQ:BPY) - State Reviewer",1,https://statereviewer.com/2020/04/22/ride-out-the-next-market-storm-with-cisco-systems-inc-nasdaqcsco-brookfield-property-partners-l-p-nasdaqbpy/,41.27000045776367,41.7599983215332
67,Cisco,04-22-2020,"IF YOU’RE NOT IN A POSITION ON: Cisco Systems, Inc., (NASDAQ: CSCO) - NasdaqNewsUpdates",1,https://nasdaqnewsupdates.com/2020/04/22/if-youre-not-in-a-position-on-cisco-systems-inc-nasdaq-csco-2/,41.27000045776367,41.7599983215332
80,Cisco,04-27-2020,Cisco Systems (CSCO): Keep an eye on Price Trends - Investor Welcome,1,https://investorwelcome.com/2020/04/13/cisco-systems-csco-keep-an-eye-on-price-trends/,42.70000076293945,43.060001373291016
81,Cisco,04-27-2020,Cisco Systems (CSCO): Effective Mover to See - Investor Welcome,1,https://investorwelcome.com/2020/04/27/cisco-systems-csco-effective-mover-to-see/,42.70000076293945,43.060001373291016
85,Cisco,04-28-2020,Stock Have a Latest Story: Cisco Systems (NASDAQ:CSCO) - News Welcome,0,https://newswelcome.com/2020/04/28/stock-have-a-latest-story-cisco-systems-nasdaqcsco/,43.5,42.4900016784668
37,Cisco,04-15-2020,Sunnova Energy International Inc. (NOVA) and Cisco Systems Inc. (CSCO): Powerful Growth Generators for Your Wallet - BOV News,0,https://bovnews.com/2020/04/15/sunnova-energy-international-inc-nova-and-cisco-systems-inc-csco-powerful-growth-generators-for-your-wallet/,42.20000076293945,41.52000045776367
75,Cisco,04-29-2020,What to Analyze About the Cisco Systems (CSCO) stock? - News Welcome,0,https://newswelcome.com/2020/04/29/what-to-analyze-about-the-cisco-systems-csco-stock-2/,43.349998474121094,43.34000015258789
76,Cisco,04-29-2020,"Top Stock Research Reports for Cisco, Abbott, NextEra & Others - Nasdaq",0,https://www.nasdaq.com/articles/top-stock-research-reports-for-cisco-abbott-nextera-others-2020-04-29,43.349998474121094,43.34000015258789
65,Cisco,04-29-2020,"Top Stock Research Reports for Cisco, Abbott, NextEra & Others - Yahoo Finance",0,https://finance.yahoo.com/news/top-stock-research-reports-cisco-172105781.html,43.349998474121094,43.34000015258789
73,Cisco,04-30-2020,"Better Than All The Rest :: Cisco Systems, Inc., (NASDAQ: CSCO) - Times Of New York",0,https://timesofnewyork.net/index.php/2020/04/30/better-than-all-the-rest-cisco-systems-inc-nasdaq-csco/,43.16540145874024,42.38000106811523
76,Cisco,04-30-2020,"The Zacks Analyst Blog Highlights: Cisco, Abbott Laboratories, NextEra Energy, Gilead Sciences and Edwards Lifesciences - Nasdaq",0,https://www.nasdaq.com/articles/the-zacks-analyst-blog-highlights%3A-cisco-abbott-laboratories-nextera-energy-gilead,43.16540145874024,42.38000106811523
77,Cisco,04-30-2020,"Google Anthos Extending Cloud Reach With Cisco, Amazon And Microsoft Connections - Seeking Alpha",0,https://seekingalpha.com/article/4341485-google-anthos-extending-cloud-reach-cisco-amazon-and-microsoft-connections,43.16540145874024,42.38000106811523
78,Cisco,04-30-2020,"Analysts Are Bullish on These Technology Stocks: Tyler Technologies (TYL), Cisco Systems (CSCO) - Analyst Ratings",0,https://www.analystratings.com/articles/analysts-are-bullish-on-these-technology-stocks-tyler-technologies-tyl-cisco-systems-csco/,43.16540145874024,42.38000106811523
12,Cisco,04-07-2020,"Cisco Systems, Inc. (CSCO) Quarterly Performance is -13.33%: Here is the Surprise Factor - The InvestChronicle",0,https://investchronicle.com/2020/04/07/cisco-systems-inc-csco-quarterly-performance-is-13-33-here-is-the-surprise-factor/,42.65999984741211,40.63999938964844
53,Cisco,04-24-2020,"These are make or break stocks for part time investors:: Cisco Systems, Inc., (NASDAQ: CSCO) - NewsSmooth",1,https://newssmooth.com/2020/04/24/these-are-make-or-break-stocks-for-part-time-investors-cisco-systems-inc-nasdaq-csco/,41.84000015258789,42.52000045776367
70,Cisco,05-01-2020,"Is Cisco Systems, Inc. (CSCO) Stock a Good Value Friday? - InvestorsObserver",0,https://www.investorsobserver.com/news/stock-update/is-cisco-systems-inc-csco-stock-a-good-value-friday,41.72000122070313,40.91999816894531
75,Cisco,05-04-2020,"Looking To Pack On The performance: Cisco Systems, Inc., (NASDAQ: CSCO) - Nyse Stock Alerts",1,https://nysestockalerts.com/2020/05/04/looking-to-pack-on-the-performance-cisco-systems-inc-nasdaq-csco/,40.95489883422852,41.349998474121094
76,Cisco,05-04-2020,Undervalued Growth Stocks: Gilead Sciences Inc. (GILD) and Cisco Systems Inc. (CSCO) - BOV News,1,https://bovnews.com/2020/05/04/undervalued-growth-stocks-gilead-sciences-inc-gild-and-cisco-systems-inc-csco/,40.95489883422852,41.349998474121094
79,Cisco,05-04-2020,Spotlight after Trading Activity Cisco Systems (CSCO) - Investor Welcome,1,https://investorwelcome.com/2020/05/04/spotlight-after-trading-activity-cisco-systems-csco/,40.95489883422852,41.349998474121094
10,Cisco,03-06-2020,"Cisco Systems' (CSCO) Management Presents at 2020 Morgan Stanley Technology, Media & Telecom Investor Conference (Transcript) - Seeking Alpha",1,https://seekingalpha.com/article/4330344-cisco-systems-csco-management-presents-2020-morgan-stanley-technology-media-telecom-investor,38.0,39.68000030517578
50,Cisco,04-23-2020,Something To Watch Before Buying Cisco Systems Inc. (NASDAQ:CSCO) - State Reviewer,0,https://statereviewer.com/2020/04/23/something-to-watch-before-buying-cisco-systems-inc-nasdaqcsco/,41.88999938964844,41.61999893188477
70,Cisco,05-05-2020,Cisco Systems (CSCO) Gains But Lags Market: What You Should Know - Nasdaq,0,https://www.nasdaq.com/articles/cisco-systems-csco-gains-but-lags-market%3A-what-you-should-know-2020-05-05,41.61000061035156,41.459999084472656
65,Cisco,05-07-2020,Fundamentals in Focus: Cisco Systems Inc. (CSCO) shares are up almost 0.85% - Weekly Oracle,0,https://weeklyoracle.com/2020/05/07/fundamentals-in-focus-cisco-systems-inc-csco-shares-are-up-almost-0-85/,41.59000015258789,41.36999893188477
62,Cisco,05-07-2020,"May 07, 2020 - Lingohr & Partner Asset Management GmbH Buys NetApp Inc, Cisco Systems Inc, TFI International Inc, Sells Intel Corp, Alliance Data Systems Corp, Synchrony Financial - GuruFocus.com",0,https://www.gurufocus.com/news/1129679/lingohr--partner-asset-management-gmbh-buys-netapp-inc-cisco-systems-inc-tfi-international-inc-sells-intel-corp-alliance-data-systems-corp-synchrony-financial,41.59000015258789,41.36999893188477
65,Cisco,05-08-2020,Cisco Systems (CSCO) May 50 calls active as tech stocks trend higher - StreetInsider.com,1,https://www.streetinsider.com/Options/Cisco+Systems+%28CSCO%29+May+50+calls+active+as+tech+stocks+trend+higher/16856842.html,42.02000045776367,42.9900016784668
66,Cisco,05-08-2020,Cisco Systems Inc (CSCO) Up 0.53% - CFDTrading,1,https://www.cfdtrading.com/cisco-systems-inc-csco-up-0-53/51570/,42.02000045776367,42.9900016784668
0,Cisco,11-13-2019,Cisco stock falls as it forecasts revenue decline - CNBC,1,https://www.cnbc.com/2019/11/13/cisco-csco-earnings-q1-2020.html,48.2400016784668,48.459999084472656
1,Cisco,11-14-2019,"Cisco (CSCO) Q1 Earnings Beat, Shares Down on Grim Outlook - Yahoo Finance",0,https://finance.yahoo.com/news/cisco-csco-q1-earnings-beat-151103699.html,45.56000137329102,44.90999984741211
4,Cisco,12-27-2019,Cisco Systems (CSCO) Stock Moves -0.17%: What You Should Know - Yahoo Finance,0,https://finance.yahoo.com/news/cisco-systems-csco-stock-moves-224510115.html,47.9900016784668,47.77000045776367
6,Cisco,01-02-2020,Cisco's Rebound May Only Be Starting - Seeking Alpha,1,https://seekingalpha.com/article/4314945-ciscos-rebound-may-only-be-starting,48.06000137329102,48.41999816894531
7,Cisco,01-06-2020,Cisco Systems' Resurgence May Just Be Getting Started - Market Realist,1,https://marketrealist.com/2020/01/cisco-systems-resurgence-may-just-be-getting-started/,47.13999938964844,47.79999923706055
8,Cisco,01-15-2020,"Cisco: Too Cheap For Too Long, Here's Why - Seeking Alpha",1,https://seekingalpha.com/article/4317137-cisco-too-cheap-for-too-long-why,47.91999816894531,48.0099983215332
10,Cisco,02-04-2020,Cisco: What Matters Going Into Q2 Results - Seeking Alpha,1,https://seekingalpha.com/article/4321256-cisco-what-matters-going-q2-results,47.22000122070313,47.61999893188477
21,Cisco,03-10-2020,Cisco Systems Could Weaken Further as Bottoming Action Is Absent - TheStreet,1,https://realmoney.thestreet.com/investing/cisco-systems-could-weaken-further-as-bottoming-action-is-absent-15262272,39.25,40.08000183105469
53,Cisco,04-27-2020,Cisco Systems Inc (CSCO) Up 2.16% - CFDTrading - CFDTrading,1,https://www.cfdtrading.com/cisco-systems-inc-csco-up-2-16/41301/,42.70000076293945,43.060001373291016
71,Cisco,05-08-2020,Cisco Systems Inc. (CSCO) moved down -9.77% from 52 weeks low: Is it Too Late to Be Bullish? - State Reviewer,1,https://statereviewer.com/2020/05/08/cisco-systems-inc-csco-moved-down-9-77-from-52-weeks-low-is-it-too-late-to-be-bullish/,42.02000045776367,42.9900016784668
72,Cisco,05-11-2020,Cisco Systems Stock at Cusp of New Uptrend - Investopedia,1,https://www.investopedia.com/cisco-systems-stock-at-cusp-of-new-uptrend-4844494,42.77999877929688,43.31999969482422
73,Cisco,05-11-2020,Cisco Earnings Preview: Patience Wears Thin As 'NewCo' Not Growing Fast Enough To Offset Albatross Of Legacy Business - Seeking Alpha,1,https://seekingalpha.com/article/4346021-cisco-earnings-preview-patience-wears-thin-newco-not-growing-fast-enough-to-offset-albatross,42.77999877929688,43.31999969482422
74,Cisco,05-11-2020,"Cisco, Applied Materials, Under Armour and Norwegian Cruise are part of Zacks Earnings Preview - Yahoo Finance",1,https://finance.yahoo.com/news/cisco-applied-materials-under-armour-165604359.html,42.77999877929688,43.31999969482422
75,Cisco,05-11-2020,Robert W. Baird Sticks to Their Buy Rating for Cisco Systems (CSCO) - Smarter Analyst,1,https://www.smarteranalyst.com/new-blurbs/robert-w-baird-sticks-to-their-buy-rating-for-cisco-systems-csco/,42.77999877929688,43.31999969482422
76,Cisco,05-11-2020,Are Cisco Systems Inc. (NASDAQ:CSCO) Prospects Worsening? - State Reviewer,1,https://statereviewer.com/2020/05/11/are-cisco-systems-inc-nasdaqcsco-prospects-worsening/,42.77999877929688,43.31999969482422
77,Cisco,05-11-2020,"6 Earnings Reports to Watch This Week: Marriott, Cisco - TheStreet",1,https://www.thestreet.com/investing/earnings-reports-to-watch-this-week-marriott-cisco,42.77999877929688,43.31999969482422
78,Cisco,05-11-2020,What's in the Cards for Cisco’s Q3 Earnings? - Market Realist,1,https://marketrealist.com/2020/05/whats-in-cards-for-ciscos-q3-earnings/,42.77999877929688,43.31999969482422
