,Firm,Date,Headlines,Label,Description,Open,Close
2,Microsoft,03-30-2020,Microsoft: Solid Fundamentals And Attractive Valuation - Seeking Alpha,1,https://seekingalpha.com/article/4334776-microsoft-solid-fundamentals-and-attractive-valuation,152.44000244140625,160.22999572753906
6,Microsoft,03-30-2020,Microsoft Is a Buy on Surging Cloud Usage - TheStreet,1,https://www.thestreet.com/investing/microsoft-msft-stock-trading-cloud-surge-coronavirus,152.44000244140625,160.22999572753906
7,Microsoft,03-30-2020,"Technology Sector Update for 03/30/2020: ASML, LYFT, MSFT, AAPL, IBM, CSCO, GOOG - Nasdaq",1,https://www.nasdaq.com/articles/technology-sector-update-for-03-30-2020%3A-asml-lyft-msft-aapl-ibm-csco-goog-2020-03-30,152.44000244140625,160.22999572753906
8,Microsoft,03-30-2020,The decline in Microsoft Corporation (MSFT) stock price is a huge buying opportunity - News RTS,1,https://newsrts.com/2020/03/30/the-decline-in-microsoft-corporation-msft-stock-price-is-a-huge-buying-opportunity/,152.44000244140625,160.22999572753906
10,Microsoft,03-31-2020,"Benzinga Pro's Stock To Watch For Tues., Mar. 31, 2020: MSFT - Benzinga",0,https://www.benzinga.com/pre-market-outlook/20/03/15705418/benzinga-pros-stock-to-watch-for-tues-mar-31-2020-msft,159.39999389648438,157.7100067138672
12,Microsoft,04-01-2020,"Technology Stock Prices in Decline in Q1 2020, MSFT and AMZN Performed Better than... - Coinspeaker",0,https://www.coinspeaker.com/technology-stock-prices-msft-amzn/,153.0,152.11000061035156
14,Microsoft,04-01-2020,"Notable Wednesday Option Activity: GOOG, DIS, MSFT - Nasdaq",0,https://www.nasdaq.com/articles/notable-wednesday-option-activity%3A-goog-dis-msft-2020-04-01,153.0,152.11000061035156
15,Microsoft,04-01-2020,"4 Top Stock Trades for Thursday: MSFT, AT&T, PTON, SPY - Investorplace.com",0,https://investorplace.com/2020/04/4-top-stock-trades-for-thursday-msft-att-pton-spy/,153.0,152.11000061035156
17,Microsoft,04-01-2020,Microsoft Corporation [MSFT] – 3 compelling analyses why it’s a less risky Investment - The Dwinnex,0,https://dwinnex.com/2020/04/01/microsoft-corporation-msft-3-compelling-analyses-why-its-a-less-risky-investment-4/,153.0,152.11000061035156
29,Microsoft,04-07-2020,Top attractive stock of the week – Microsoft Corporation (MSFT) - News RTS,0,https://newsrts.com/2020/04/07/top-attractive-stock-of-the-week-microsoft-corporation-msft/,169.58999633789062,163.49000549316406
34,Microsoft,04-08-2020,LinkedIn makes 'no layoffs' pledge - Seeking Alpha,0,https://seekingalpha.com/news/3559471-linkedin-makes-no-layoffs-pledge,165.6699981689453,165.1300048828125
50,Microsoft,04-15-2020,Microsoft (MSFT) Partner Conversations Imply Contract Renegotiation Upcoming - BofA Securities - StreetInsider.com,1,https://www.streetinsider.com/Analyst+Comments/Microsoft+%28MSFT%29+Partner+Conversations+Imply+Contract+Renegotiation+Upcoming+-+BofA+Securities/16744360.html,171.1999969482422,171.8800048828125
55,Microsoft,04-16-2020,"Technology Sector Update for 04/16/2020: TSM, MOBL, GPRO, MSFT, AAPL, IBM, CSCO, GOOG - Nasdaq",1,https://www.nasdaq.com/articles/technology-sector-update-for-04-16-2020%3A-tsm-mobl-gpro-msft-aapl-ibm-csco-goog-2020-04-16,174.3000030517578,177.0399932861328
60,Microsoft,04-20-2020,The Zacks Analyst Blog Highlights: IBM and Microsoft - Yahoo Finance,0,https://finance.yahoo.com/news/zacks-analyst-blog-highlights-ibm-132601666.html,176.6300048828125,175.05999755859375
62,Microsoft,04-20-2020,"Forget Amazon, Microsoft Is a Better Cloud Computing Stock - Motley Fool",0,https://www.fool.com/investing/2020/04/20/forget-amazon-microsoft-better-cloud-computing.aspx,176.6300048828125,175.05999755859375
65,Microsoft,04-20-2020,"Current Trend:: Microsoft Corporation, (NASDAQ: MSFT) - NewsSmooth",0,https://newssmooth.com/2020/04/20/current-trend-microsoft-corporation-nasdaq-msft/,176.6300048828125,175.05999755859375
67,Microsoft,04-21-2020,"Notable Tuesday Option Activity: NAT, MSFT, COST - Nasdaq",0,https://www.nasdaq.com/articles/notable-tuesday-option-activity%3A-nat-msft-cost-2020-04-21,173.5,167.82000732421875
71,Microsoft,04-21-2020,7 of the Best Large-Cap Stocks to Buy Now - Investorplace.com,0,https://investorplace.com/2020/04/7-of-the-best-large-cap-stocks-to-buy-now/,173.5,167.82000732421875
76,Microsoft,04-22-2020,"IS THERE ENOUGH ROOM LEFT TO: Microsoft Corporation, (NASDAQ: MSFT) - NasdaqNewsUpdates",1,https://nasdaqnewsupdates.com/2020/04/22/is-there-enough-room-left-to-microsoft-corporation-nasdaq-msft/,171.38999938964844,173.52000427246094
80,Microsoft,04-23-2020,Interesting MSFT Put And Call Options For June 5th - Nasdaq,0,https://www.nasdaq.com/articles/interesting-msft-put-and-call-options-for-june-5th-2020-04-23,174.11000061035156,171.4199981689453
82,Microsoft,04-23-2020,Earnings Season Peaks Next Week - Yahoo Finance,0,https://finance.yahoo.com/news/earnings-season-peaks-next-week-222410485.html,174.11000061035156,171.4199981689453
83,Microsoft,04-23-2020,"Stocks Could Be Back to the Races:: Microsoft Corporation, (NASDAQ: MSFT) - NasdaqNewsUpdates",0,https://nasdaqnewsupdates.com/2020/04/23/stocks-could-be-back-to-the-races-microsoft-corporation-nasdaq-msft/,174.11000061035156,171.4199981689453
86,Microsoft,04-24-2020,Previewing Tech Sector Earnings - Yahoo Finance,1,https://finance.yahoo.com/news/previewing-tech-sector-earnings-201408597.html,172.05999755859375,174.5500030517578
89,Microsoft,04-24-2020,"Dow Jones Futures Turn Higher Despite Intel, Google News After Coronavirus Stock Market Rally Stalls On Gilead Remdesivir Data - Investor's Business Daily",1,https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-coronavirus-stock-market-rally-stalls-on-gilead-remdesivir-intel-earnings-hit-microsoft-amd-nvidia/,172.05999755859375,174.5500030517578
90,Microsoft,04-24-2020,Microsoft has started promoting its new Edge browser on Outlook.com - OnMSFT,1,https://www.onmsft.com/news/microsoft-has-started-promoting-its-new-edge-browser-on-outlook-com,172.05999755859375,174.5500030517578
50,Microsoft,04-20-2020,Microsoft Joins Alliance to Collect Plasma from Recovered COVID-19 Patients - Motley Fool,0,https://www.fool.com/investing/2020/04/20/microsoft-joins-alliance-to-collect-plasma-from-re.aspx,176.6300048828125,175.05999755859375
71,Microsoft,04-27-2020,"Big Tech's First Coronavirus Earnings Test: Buy Apple, Amazon or Microsoft Stock? - Yahoo Finance",0,https://finance.yahoo.com/news/big-techs-first-coronavirus-earnings-195807385.html,176.58999633789062,174.0500030517578
74,Microsoft,04-28-2020,Microsoft Shares May Plunge Following Quarterly Results - Seeking Alpha,0,https://seekingalpha.com/article/4340632-microsoft-shares-may-plunge-following-quarterly-results,175.58999633789062,169.80999755859375
75,Microsoft,04-28-2020,Microsoft ETFs to Watch on Surging Cloud Ahead of Q3 Earnings - Nasdaq,0,https://www.nasdaq.com/articles/microsoft-etfs-to-watch-on-surging-cloud-ahead-of-q3-earnings-2020-04-28,175.58999633789062,169.80999755859375
78,Microsoft,04-28-2020,Stock Under Active Eyes: Microsoft Corp. (NASDAQ:MSFT) - News Welcome,0,https://newswelcome.com/2020/04/28/stock-under-active-eyes-microsoft-corp-nasdaqmsft/,175.58999633789062,169.80999755859375
