,Firm,Date,Headlines,Label,Description,Open,Close
0,Apollo,05-03-2019,Here’s What Hedge Funds Think About Apollo Investment Corp. (AINV) - Yahoo Finance,1,https://finance.yahoo.com/news/hedge-funds-think-apollo-investment-002858497.html,15.670000076293945,15.800000190734865
6,Apollo,10-01-2019,Apollo Investment Corporation Schedules Earnings Release and Conference Call for Second Quarter Fiscal Year 2020 - GlobeNewswire,0,https://www.globenewswire.com/news-release/2019/10/01/1923222/0/en/Apollo-Investment-Corporation-Schedules-Earnings-Release-and-Conference-Call-for-Second-Quarter-Fiscal-Year-2020.html,16.09000015258789,15.899999618530273
10,Apollo,12-20-2019,Apollo Investment (AINV) Is Up 2.45% in One Week: What You Should Know - Zacks.com,0,https://www.zacks.com/stock/news/680280/apollo-investment-ainv-is-up-245-in-one-week-what-you-should-know,17.639999389648438,17.559999465942386
11,Apollo,12-31-2019,What Makes Apollo Investment (AINV) a New Strong Buy Stock - Nasdaq,0,https://www.nasdaq.com/articles/what-makes-apollo-investment-ainv-a-new-strong-buy-stock-2019-12-31,17.469999313354492,17.459999084472653
12,Apollo,01-28-2020,Apollo Investment (AINV) Earnings Expected to Grow: Should You Buy? - Zacks.com,1,https://www.zacks.com/stock/news/737094/apollo-investment-ainv-earnings-expected-to-grow-should-you-buy,17.440000534057614,17.549999237060547
49,Apollo,04-14-2020,Analyzing Apollo Investment Corporation (AINV) From Top to Bottom - US Post News,0,https://uspostnews.com/2020/04/14/analyzing-apollo-investment-corporation-ainv-from-top-to-bottom/,8.9399995803833,8.649999618530272
0,Apollo,01-31-2020,Apollo Investment (AINV) Moves to Strong Buy: Rationale Behind the Upgrade - Yahoo Finance,0,https://finance.yahoo.com/news/apollo-investment-ainv-moves-strong-170005810.html,17.520000457763672,17.270000457763672
47,Apollo,04-30-2020,Do you know Apollo Investment Corporation (AINV) stock Worth? Where it is now? - News Welcome,0,https://newswelcome.com/2020/04/30/do-you-know-apollo-investment-corporation-ainv-stock-worth-where-it-is-now/,9.039999961853027,8.8100004196167
7,Apollo,03-18-2020,Time to Buy Beat-Down Apollo Investment Corporation (AINV) Stock? Here is the INSIGHT - The InvestChronicle,0,https://investchronicle.com/2020/03/18/time-to-buy-beat-down-apollo-investment-corporation-ainv-stock-here-is-the-insight/,9.600000381469727,9.079999923706056
19,Apollo,04-03-2020,Solid Income Opportunity With Apollo Investment Corporation (AINV) and CRH plc (CRH) - BOV News,0,https://bovnews.com/2020/04/03/solid-income-opportunity-with-apollo-investment-corporation-ainv-and-crh-plc-crh/,6.0,5.429999828338623
28,Apollo,04-14-2020,Apollo Investment Corporation (AINV) Quarterly Performance is -49.80%: Here is the Surprise Factor - The InvestChronicle,0,https://investchronicle.com/2020/04/14/apollo-investment-corporation-ainv-quarterly-performance-is-49-80-here-is-the-surprise-factor/,8.9399995803833,8.649999618530272
0,Apollo,02-21-2020,Apollo Global Management LLC : Form 10-K - marketscreener.com,0,https://www.marketscreener.com/APOLLO-GLOBAL-MANAGEMENT-65218753/news/Apollo-Global-Management-LLC-Form-10-K-30040719/,17.190000534057614,17.180000305175778
15,Apollo,05-05-2020,Weak fundamental momentum pushes Apollo Investment Corporation (AINV) lower - Marketing Sentinel,0,https://marketingsentinel.com/2020/05/05/weak-fundamental-momentum-pushes-apollo-investment-corporation-ainv-lower/,8.199999809265138,7.960000038146973
0,Apollo,02-06-2014,Apollo Investment Corp. (AINV) – Pristine credit Quality - ValueWalk,1,https://www.valuewalk.com/2014/02/apollo-investment-corp-ainv-basic-noi-estimates-lifted/,24.93000030517578,25.07999992370605
1,Apollo,05-12-2014,Flying High With Apollo And Affiliates - Benzinga,1,https://www.benzinga.com/general/education/14/05/4547571/flying-high-with-apollo-and-affiliates,23.61000061035156,23.96999931335449
2,Apollo,06-20-2014,Apollo Investment: BDC Dividend Coverage Part 15 - Seeking Alpha,0,https://seekingalpha.com/article/2278473-apollo-investment-bdc-dividend-coverage-part-15,25.20000076293945,24.93000030517578
3,Apollo,07-15-2014,What Are You Really Buying When You Buy Apollo Investment Corporation? - Motley Fool,0,https://www.fool.com/investing/dividends-income/2014/07/15/what-are-you-really-buying-when-you-buy-apollo-inv.aspx,26.399999618530273,26.3700008392334
4,Apollo,07-28-2014,How Does Apollo Investment Corporation Make Money? - Motley Fool,1,https://www.fool.com/investing/general/2014/07/28/how-does-apollo-investment-corp-make-money.aspx,26.309999465942386,26.309999465942386
5,Apollo,06-05-2015,"AINV Stock Price, Forecast & News (Apollo Investment) - MarketBeat",1,https://www.marketbeat.com/stocks/NASDAQ/AINV/,23.54999923706055,23.63999938964844
6,Apollo,07-22-2015,Apollo Investment (AINV) Stock Tumbling After Rating Downgrade - TheStreet.com,0,https://www.thestreet.com/markets/apollo-investment-ainv-stock-tumbling-after-rating-downgrade-13227134,21.059999465942386,20.399999618530273
7,Apollo,08-05-2015,Better Dividend Stock: Apollo Investment vs. Main Street Capital - Motley Fool,1,https://www.fool.com/investing/general/2015/08/05/better-dividend-stock-apollo-investment-vs-main-st.aspx,20.459999084472656,20.520000457763672
8,Apollo,06-06-2016,Apollo Investment Corporation Announces Senior Management Appointments - Business Wire,1,https://www.businesswire.com/news/home/20160606005358/en/Apollo-Investment-Corporation-Announces-Senior-Management-Appointments,15.989999771118164,16.319999694824222
9,Apollo,08-05-2016,Apollo Investment Corporation: Weak Earnings Result in a Dividend Cut - The Motley Fool,1,http://www.fool.com/investing/2016/08/05/apollo-investment-corporation-weak-earnings-result.aspx,16.5,16.920000076293945
10,Apollo,12-09-2016,Apollo Investment Corp. (AINV): Are Hedge Funds Right About This Stock? - Insider Monkey,1,https://www.insidermonkey.com/blog/apollo-investment-corp-ainv-are-hedge-funds-right-about-this-stock-2-504274/,18.18000030517578,18.209999084472656
11,Apollo,10-30-2017,Apollo Investment: Another 10% Yielding BDC Headed In The Right Direction? - Seeking Alpha,0,https://seekingalpha.com/article/4118026-apollo-investment-another-10-yielding-bdc-headed-in-right-direction,17.850000381469727,17.790000915527344
12,Apollo,01-16-2018,Apollo Global Management: Tax Reform Is A Potential Catalyst - Seeking Alpha,0,https://seekingalpha.com/article/4137748-apollo-global-management-tax-reform-is-potential-catalyst,17.520000457763672,17.25
13,Apollo,05-21-2018,Apollo Investment credit rating may be cut to junk by Fitch - Seeking Alpha,0,https://seekingalpha.com/news/3358237-apollo-investment-credit-rating-may-be-cut-to-junk-fitch,16.799999237060547,16.649999618530273
14,Apollo,05-22-2018,Better Buy: Main Street Capital Corporation (MAIN) vs. Apollo Investment Corp. (AINV) - The Motley Fool,1,https://www.fool.com/investing/2018/05/22/better-buy-main-street-capital-corporation-main-vs.aspx,16.59000015258789,17.040000915527347
15,Apollo,07-17-2018,KBRA Releases Rating Report for Apollo Investment Corporation - Business Wire,1,https://www.businesswire.com/news/home/20180717005827/en/KBRA-Releases-Rating-Report-Apollo-Investment-Corporation,17.15999984741211,17.399999618530273
16,Apollo,10-30-2018,"More on Apollo Investment Q2: 1-for-3 reverse stock split, $50M buyback - Seeking Alpha",0,https://seekingalpha.com/news/3402860-on-apollo-investment-q2-1-forminus-3-reverse-stock-split-50m-buyback,14.970000267028807,14.90999984741211
17,Apollo,11-06-2018,Apollo Investment Corp.: Should Investors Consider This 11.5% Yield? - Income Investors,1,https://www.incomeinvestors.com/apollo-investment-corp-investors-consider-11-5-yield/44484/,16.049999237060547,16.229999542236328
18,Apollo,11-30-2018,Apollo Investment: Worth The Risk? - Seeking Alpha,0,https://seekingalpha.com/article/4225705-apollo-investment-worth-risk,15.899999618530273,15.75
19,Apollo,12-18-2018,"Apollo Investment Corporation (AINV) Ex-Dividend Date Scheduled for December 19, 2018 - Nasdaq",1,https://www.nasdaq.com/articles/apollo-investment-corporation-ainv-ex-dividend-date-scheduled-december-19-2018-2018-12-18,13.380000114440918,13.75
20,Apollo,01-23-2019,Should Value Investors Pick Apollo Investment (AINV) Stock? - Zacks.com,0,https://www.zacks.com/stock/news/349010/should-value-investors-pick-apollo-investment-ainv-stock,14.380000114440918,14.350000381469727
21,Apollo,01-31-2019,Apollo Investment Corp.: Checking In With This 12.2%-Yielding BDC - Seeking Alpha,1,https://seekingalpha.com/article/4237005-apollo-investment-corp-checking-in-this-12_2-yielding-bdc,15.0600004196167,15.300000190734865
22,Apollo,02-07-2019,Apollo Investment Corp (AINV) Q3 2019 Earnings Conference Call Transcript - The Motley Fool,0,https://www.fool.com/earnings/call-transcripts/2019/02/06/apollo-investment-corp-ainv-q3-2019-earnings-confe.aspx,15.199999809265135,15.18000030517578
