,Firm,Date,Headlines,Label,Description,Open,Close
2,Hyatt,03-30-2020,Construction of Hyatt hotel next to Buckhead's Lenox Square to start soon - Reporter Newspapers,1,https://www.reporternewspapers.net/2020/03/30/construction-of-hyatt-hotel-next-to-buckheads-lenox-square-to-start-soon/,47.599998474121094,48.54999923706055
3,Hyatt,03-30-2020,Columbus Hyatt Place offering reduced rates for healthcare workers - REjournals.com,1,https://rejournals.com/columbus-hyatt-place-offering-reduced-rates-for-healthcare-workers/,47.599998474121094,48.54999923706055
14,Hyatt,04-03-2020,Hyatt Hotels : Statement on Hyatt's Updated Cancellation Policy and World of Hyatt Benefits - Marketscreener.com,0,https://www.marketscreener.com/HYATT-HOTELS-CORPORATION-5685450/news/Hyatt-Hotels-Statement-on-Hyatt-s-Updated-Cancellation-Policy-and-World-of-Hyatt-Benefits-30303409/,40.7400016784668,39.91999816894531
26,Hyatt,04-16-2020,Here's Our Rant About Hyatt Hotels Corporation (H) - The News Heater,1,https://newsheater.com/2020/04/16/heres-our-rant-about-hyatt-hotels-corporation-h/,53.52000045776367,53.95000076293945
27,Hyatt,04-16-2020,"Hyatt implements layoffs - Saipan News, Headlines, Events, Ads - Saipan Tribune",1,https://www.saipantribune.com/index.php/hyatt-implements-layoffs/,53.52000045776367,53.95000076293945
28,Hyatt,04-16-2020,Man dies after stabbing in Pleasanton | News | PleasantonWeekly.com | - Pleasanton Weekly,1,https://www.pleasantonweekly.com/news/2020/04/16/pleasanton-police-investigating-fatal-stabbing,53.52000045776367,53.95000076293945
35,Hyatt,04-20-2020,A potential COVID-19 vaccine without a shot? One research team is working on a patch - Dayton 24/7 Now,0,https://dayton247now.com/news/spotlight-on-america/a-potential-covid-19-vaccine-without-a-shot-one-research-team-is-working-on-a-patch,55.209999084472656,54.72000122070313
43,Hyatt,04-22-2020,Hyatt Hotels Corporation [H] Stock trading around $55.35 per share: What’s Next? - The DBT News,0,https://dbtnews.com/2020/04/22/hyatt-hotels-corporation-h-stock-trading-around-55-35-per-share-whats-next/,56.70000076293945,54.02000045776367
47,Hyatt,04-24-2020,Why You Need a Strong Vision (And How to Write One) - Inc.,0,https://www.inc.com/marcel-schwantes/why-you-need-a-strong-vision-and-how-to-write-one.html,53.959999084472656,52.63000106811523
51,Hyatt,04-24-2020,"Unsafe At Current Price? – Hyatt Hotels Corporation (H), Moelis & Company (MC) - News RTS",0,https://newsrts.com/2020/04/24/unsafe-at-current-price-hyatt-hotels-corporation-h-moelis-company-mc/,53.959999084472656,52.63000106811523
56,Hyatt,04-27-2020,Investigation continues into Pleasanton homicide | News | PleasantonWeekly.com | - Pleasanton Weekly,1,https://www.pleasantonweekly.com/news/2020/04/26/investigation-continues-into-pleasanton-homicide,53.70000076293945,55.72999954223633
