,Firm,Date,Headlines,Label,Description,Open,Close
0,Apple,11/20/2006,"Mac fans buzzing about expected Apple ""iPhone""",1, SAN FRANCISCO  Reuters  The longrumored arrival of a  hybrid mobile phone and iPod music player from Apple Computer  Inc  AAPLO  has morphed from a question of If to When  among fans and analysts  ,12.2,12.352858
1,Apple,12/13/2006,Apple's iTunes music sales collapses in H1: survey,1, AMSTERDAM  Reuters  Sales at Apples online music shop iTunes Music Store plummeted in the first six months of 2006 according to a recent survey  ,12.564285,12.721428999999999
2,Apple,12/13/2006,Piper Jaffray disputes report of weak iTunes sales,1, NEW YORK  Reuters  Digital music sales surged at Apple Computer Incs  AAPLO  iTunes service over the first nine months of 2006 Piper Jaffray said on Wednesday contradicting a report that sales collapsed in the first half  ,12.564285,12.721428999999999
3,Apple,12/15/2006,Apple files to delay annual report for option review,0, WASHINGTON  Reuters  Apple Computer Inc  AAPLO  which  is undergoing an independent investigation into its historical  stock option practices filed with the US Securities and  Exchange Commission on Friday to delay its 10K annual report  filing  ,12.717143,12.531428
4,Apple,12/27/2006,Apple shares recover,1, BOSTON  Reuters  Apple Computer Inc shares fell as much as 6 percent on Wednesday on a report of new developments in its stock options inquiry but the shares later turned positive after analysts shrugged off concerns that the company faces deeper legal risks  ,11.164286,11.645715
5,Apple,12/28/2006,Apple board did not approve CEO options grant: paper,1, NEW YORK  Reuters  Apple Computer Inc  AAPLO  gave Chief Executive Steve Jobs 75 million stock options in 2001 without the required authorization of the companys board the Financial Times reported on Thursday  ,11.46,11.552857000000001
6,Apple,12/29/2006,Apple posts options expenses stands by CEO Jobs,1, BOSTONNEW YORK  Reuters  Apple Computer Inc  AAPLO  Chief Executive Steve Jobs received a vote of confidence from the companys board on Friday in a much anticipated filing that also said it would take an 84 million charge for misdating stock options  ,11.992857,12.12
7,Apple,1/9/2007,Cingular seen providing service for Apple phone: report,1, LOS ANGELES  Reuters  ATTs  TN  mobile phone unit  Cingular Wireless is expected to provide a service for a phone  from Apple Computer Inc AAPLO  the Wall Street Journal  reported on Monday citing people familiar with the matter  ,12.35,13.224286
8,Apple,1/9/2007,Investors dump RIM as Apple launches iPhone,1, TORONTO  Reuters  Investors dumped shares of BlackBerry  maker Research In Motion Ltd RIMTORIMMO on Tuesday  spooked by the entry of Apple Computer Incs  AAPLO  iPhone  into the fiercely contested smartphone market  ,12.35,13.224286
9,Apple,1/9/2007,Cisco expects Apple agreement on iPhone trademark,1, NEW YORK  Reuters  Cisco Systems Inc said on Tuesday it expected to reach an agreement with Apple Computer Inc later Tuesday on its iPhone trademark after Apple unveiled a mobile phone with the same name  ,12.35,13.224286
