,Firm,Date,Headlines,Label,Description,Open,Close
2,Apple,03-19-2012,UPDATE 6-Apple's Cook finally shares $98 billion cache,1,"Apple Inc CEO
Tim Cook, moving swiftly after taking over from late Silicon
Valley icon Steve Jobs, fulfilled a longstanding desire of
investors by initiating a quarterly dividend and share buyback
that will pay out $45 billion over three years.",85.48143005371094,85.87142944335938
3,Apple,03-19-2012,RPT-US STOCKS-S&P within 10 pct of record high; Apple up on dividend plan,1,"The S&P 500 extended its
rally on Monday to climb within 10 percent of its historic
closing high, after Apple said it would pay a $10 billion annual
dividend and buy back stock.",85.48143005371094,85.87142944335938
4,Apple,03-19-2012,S&P within 10 pct of record high; Apple up on dividend plan,1,"The S&P 500 extended its
rally on Monday to climb within 10 percent of its historic
closing high, after Apple said it would pay a $10 billion annual
dividend and buy back stock.",85.48143005371094,85.87142944335938
5,Apple,03-19-2012,BreakingViews: So what's Apple really going to do with its cash?,1,(The author is a Reuters Breakingviews columnist. The opinions expressed are his own.),85.48143005371094,85.87142944335938
6,Apple,03-19-2012,"Instant View: Apple to pay dividend, buy back stock",1,Apple Inc said it plans to pay a quarterly dividend of $2.65 per share and authorized a $10 billion stock buyback program to be carried out over three years.,85.48143005371094,85.87142944335938
7,Apple,03-19-2012,US STOCKS-Wall St up on Apple; S&P less than 10 pct below record high,1,"* Apple up on company's plan to pay dividend, buy back stock",85.48143005371094,85.87142944335938
8,Apple,03-19-2012,US STOCKS-Wall St hovers near 4-yr highs; Apple up,1,"U.S. stocks were little
changed on Monday, hovering near 4-year highs, while shares of
Apple rose after it said it will begin paying a dividend and buy
back stock.",85.48143005371094,85.87142944335938
9,Apple,03-19-2012,GLOBAL MARKETS-Stocks halt rally despite Apple gains; euro down,1,"World stocks paused near
eight-month highs o n M onday as investors awaited more evidence
of economic recovery before taking on risk, although shares of
Apple jumped more than 1 percent after the company announced
regular quarterly dividends and stock buy-backs.",85.48143005371094,85.87142944335938
10,Apple,03-19-2012,US STOCKS-Wall St flat after Apple starts dividend,1,"U.S. stocks were little
changed o n Monday, as equities stayed within reach of nearly
4-year highs and after cash-rich Apple said it will begin paying
a dividend and buying back stock.",85.48143005371094,85.87142944335938
11,Apple,03-19-2012,European watchdogs target Apple guarantee scheme,1,"Consumer groups across Europe
have launched a coordinated campaign against Apple Inc 
in a bid to change the way the electronics group informs people
who buy its tablet computers and smartphones about the
guarantees they are entitled to.",85.48143005371094,85.87142944335938
12,Apple,03-19-2012,US STOCKS-Wall St to open off after Apple starts dividend,1,"U.S. stocks were poised for a
lower open o n Monday, indicating equities may pull back from
nearly 4-year highs after cash-rich Apple said it will begin
paying a dividend and buying back stock.",85.48143005371094,85.87142944335938
13,Apple,03-20-2012,Apple vs. Android: A courtroom war of attrition,1,"Before his death, Apple Inc's Steve Jobs famously promised to go ""thermonuclear"" against smartphones running Google's Android software, saying they use technology ripped off from the iPhone.",85.644287109375,86.56571197509766
17,Apple,03-20-2012,UPDATE 3-Apple's iPad throws off much more heat -tests,1,"Apple Inc's new
iPad throws off a lot more heat than the previous version,
lending weight to complaints on Internet forums that the
hot-selling tablet computer could get uncomfortably warm after
heavy use, an influential consumer watchdog found after running
tests.",85.644287109375,86.56571197509766
18,Apple,03-20-2012,Apple's new iPad much hotter than prior model: test,1,"Apple Inc's  new iPad reached temperatures of 116 degrees Fahrenheit (47 Celsius) after 45 minutes of running an intense action game, or up to 13 degrees F (11 C) hotter than the previous iPad under similar conditions, according to a test run by influential reviewer Consumer Reports.",85.644287109375,86.56571197509766
19,Apple,03-20-2012,Apple fever heats up Taiwan Feb export orders,1,"Orders for Taiwan's exports in February grew more than expected from a year earlier, another sign of an improving picture for Asian exporters as demand from the United States and China picked up.",85.644287109375,86.56571197509766
20,Apple,03-20-2012,RPT-How to Play It: A dividend strategy with Apple in mind,1,"Apple isn't the only
prominent company that analysts have tagged as a potential
source of dividend payouts. Investors can target the sweet spot
of reliable income and share price gains by buying companies
that are likely to initiate or increase dividends.",85.644287109375,86.56571197509766
21,Apple,03-20-2012,RPT-UPDATE 1-Apple fever heats up Taiwan Feb export orders,1,"Orders for Taiwan's exports in
February grew more than expected from a year earlier, another
sign of an improving picture for Asian exporters as demand from
the United States and China picked up.",85.644287109375,86.56571197509766
26,Apple,03-22-2012,UPDATE 1-BlackBerry maker seeks Apple-focused app developer,1,"BlackBerry maker Research In
Motion wants to hire a software developer with deep
experience building applications for Apple's iPhone and
iPad, according to a job posting on its LinkedIn page.",85.39714050292969,85.62000274658203
28,Apple,03-23-2012,"Apple's devoted shareholders get rich, and hang on",0,"When Anton Marinovich turned 18, his grandmother gave him $1,000 with strict instructions to invest in the stock market. He chose Apple Inc.",85.78428649902344,85.1500015258789
29,Apple,03-23-2012,"CORRECTED-Apple's devoted shareholders get rich, and hang on",0,"When Anton Marinovich turned
18, his grandmother gave him $1,000 with strict instructions to
invest in the stock market. He chose Apple Inc.",85.78428649902344,85.1500015258789
30,Apple,03-26-2012,Apple's gains make some mutual funds riskier,1,"When it comes to Apple, investors could become victims of their own success.",85.68428802490234,86.71142578125
31,Apple,03-26-2012,Apple CEO Cook meets Chinese officials,1,"Apple Inc Chief
Executive Tim Cook met government officials in Beijing on Monday
as the consumer electronics company looks to expand in the
region.",85.68428802490234,86.71142578125
32,Apple,03-27-2012,"Apple, Sony, 4 others sued by Graphics Properties",1,"Apple Inc, Sony Corp and four other companies were sued by Graphics Properties Holdings Inc, formerly known as Silicon Graphics Inc, for allegedly infringing a patent through their sale of mobile phones and other electronic devices.",86.5971450805664,87.7828598022461
33,Apple,03-27-2012,"UPDATE 2-Apple, Sony, 4 others sued by Graphics Properties",1,"Apple Inc, Sony Corp and four other
companies were sued by Graphics Properties Holdings Inc,
formerly known as Silicon Graphics Inc, for allegedly infringing
a patent through their sale of mobile phones and other
electronic devices.",86.5971450805664,87.7828598022461
34,Apple,03-27-2012,Apple CEO in China mission to clear up problems,1,"Apple Inc Chief Executive Tim Cook has jetted into China for talks with government officials as he seeks to clear up a pile of problems in the firm's biggest growth market, from its contested iPad trademark to treatment of local labor.",86.5971450805664,87.7828598022461
35,Apple,03-27-2012,UPDATE 3-Apple CEO on China mission to clear up problems,1,"Apple chief
executive Tim Cook on Tuesday held talks with government
officials in China, where development of the company's biggest
potential market is clouded by issues ranging from a contested
iPad trademark to treatment of local labour.",86.5971450805664,87.7828598022461
36,Apple,03-27-2012,Apple supplier Hon Hai to take 11 percent stake in Sharp,1,"Taiwan's Hon Hai Precision Industry Co  will take an 11 percent stake in Japan's Sharp Corp , the Japanese company said on Tuesday, under a tie-up in LCD production that includes Sharp issuing 66.5 billion yen ($803 million) worth of its shares to four Hon Hai group companies.",86.5971450805664,87.7828598022461
37,Apple,03-27-2012,Australia regulator says Apple misleading consumers on iPad,1,Apple's hot-selling new iPad hit a hurdle in Australia on Tuesday as the country's consumer affairs regulator accused the company of misleading promotions.,86.5971450805664,87.7828598022461
38,Apple,03-27-2012,UPDATE 1-Australia regulator says Apple misleading consumers on iPad,1,"* Regulator: Australian consumers misled on iPad 4G
capability",86.5971450805664,87.7828598022461
39,Apple,03-28-2012,China to Apple's Cook: we will boost intellectual property rights:  Xinhua,0,"China's vice premier promised Apple  Chief Executive Officer Tim Cook that the country would boost intellectual property protection, state media said on Wednesday, in Cook's second day of meetings in the company's biggest potential market.",88.33999633789062,88.23143005371094
40,Apple,03-28-2012,China to Apple's Cook: we will boost intellectual property rights - Xinhua,0,"China's vice premier promised
Apple Chief Executive Officer Tim Cook that the country
would boost intellectual property protection, state media said
on Wednesday, in Cook's second day of meetings in the company's
biggest potential market.",88.33999633789062,88.23143005371094
43,Apple,03-28-2012,Apple offers refund to Australian buyers of new iPad,0,"Apple Inc will email all buyers of its new iPad in Australia to offer them a refund, a lawyer for the company said on Wednesday, after the nation's consumer watchdog accused it of misleading advertising over one key aspect of the product.",88.33999633789062,88.23143005371094
44,Apple,03-28-2012,UPDATE 2-Apple offers refund to Australian buyers of new iPad,0,"Apple Inc will
email all buyers of its new iPad in Australia to offer them a
refund, a lawyer for the company said on Wednesday, after the
nation's consumer watchdog accused it of misleading advertising
over one key aspect of the product.",88.33999633789062,88.23143005371094
47,Apple,03-29-2012,"Apple, Foxconn revamp China work conditions",0,"In a landmark development for the way Western companies do business in China, Apple Inc said on Thursday it had agreed to work with partner Foxconn to tackle wage and working condition violations at the factories that produce its popular products.",87.54000091552734,87.12285614013672
48,Apple,03-29-2012,"UPDATE 2-Apple, Foxconn revamp China work conditions",0,"* If commitments kept, sets new bar for Western cos in China",87.54000091552734,87.12285614013672
51,Apple,03-29-2012,"Instant View: Apple, Foxconn promise better working conditions",0,Apple Inc has agreed to work with partner Foxconn to improve wages and working conditions at the Chinese factories that produce its popular electronics products.,87.54000091552734,87.12285614013672
52,Apple,03-29-2012,Q&A-Apple-Foxconn raises bar on U.S. firms in China-auditor,0,"A month-long
investigation by the Fair Labor Association covering three
Chinese factories run by Apple Inc's main contract
manufacturer, Foxconn, revealed a host of issues from excessive
overtime to problems with overtime compensation. 	
    The D.C-based non-profit group has been conducting its probe
at Foxconn facilities in Guanlan, Longhua, and Chengdu in China
since February after Apple joined the group this year. The
world's most va",87.54000091552734,87.12285614013672
53,Apple,03-29-2012,"Apple, Foxconn vow wide revamp of worker conditions",0,"In a landmark
development for the way Western companies do business in China,
Apple Inc said Thursday it had agreed to work with
partner Foxconn to substantially improve wages and working
conditions at the factories that produce its wildly popular
products.",87.54000091552734,87.12285614013672
54,Apple,03-29-2012,Analysis: Apple's gains make some mutual funds riskier,0,"When it comes to Apple, investors could become victims of their own success.",87.54000091552734,87.12285614013672
55,Apple,03-29-2012,Sweden looking into Apple iPad 4G complaints,0,"Sweden's consumer protection
agency is looking at complaints that Apple Inc does not
make it clear that its latest iPad will not work with 4G
networks outside the United States and Canada.",87.54000091552734,87.12285614013672
64,Apple,03-30-2012,"UPDATE 5-Apple, Foxconn set new standard for Chinese workers",0,"* If commitments kept, sets new bar for Western firms in
China",86.9671401977539,85.6500015258789
67,Apple,04-02-2012,UPDATE 1-Apple's iPad tops Consumer Reports' list despite heat issue,1,"Apple Inc's new
iPad topped Consumer Reports' list of tablets despite the
influential watchdog's having earlier stoked doubts about the
latest iteration of the best-selling tablet by saying it threw
off more heat when used heavily.",85.97571563720703,88.37571716308594
70,Apple,04-03-2012,"Apple-mania spreads, Piper Jaffray sees $1,000 stock",1,"Apple Inc shares set a record high on Tuesday after Piper Jaffray supported Topeka Capital Market's assertion that the stock should breach $1,000 in a year or two, propelled by emerging markets growth and new products that could include a revolutionary TV set.",89.61428833007812,89.9028549194336
71,Apple,04-03-2012,RIM launches software to accommodate Apple users,1,"Research In Motion on Tuesday launched software that enables its large ""enterprise"" customers to manage Apple and other rival devices through the same servers as they use for the BlackBerry smartphone and Playbook tablet.",89.61428833007812,89.9028549194336
72,Apple,04-03-2012,UPDATE 1-RIM launches software to accommodate Apple users,1,"Research In Motion on
Tuesday launched software t hat enables it s large ""enterprise""
customers to manage Apple and other rival devices through the
same servers as they use for the BlackBerry smartphone and
Playbook tablet.",89.61428833007812,89.9028549194336
73,Apple,04-03-2012,"EU probes Motorola after Microsoft, Apple complaints",1,"EU regulators are investigating whether phone maker Motorola Mobility  breached antitrust rules by allegedly over-charging Microsoft  and Apple  for use of its patents in their products, the European Commission said on Tuesday.",89.61428833007812,89.9028549194336
74,Apple,04-03-2012,"UPDATE 1-EU probes Motorola after Microsoft, Apple complaints",1,"* EU Commission to probe if Motorola sets unfair fees for
its patents",89.61428833007812,89.9028549194336
75,Apple,04-04-2012,Court picks terms in Apple/Samsung patent case,0,A U.S. judge largely sided with Apple on Wednesday over how several technical terms will be defined in its patent fight against Samsung over smartphones and tablets.,89.19285583496094,89.18714141845703
76,Apple,04-04-2012,US court picks terms in Apple/Samsung patent case,0,"A U.S. judge largely
sided with Apple on Wednesday over how several technical terms
will be defined in its patent fight against Samsung over
smartphones and tablets.",89.19285583496094,89.18714141845703
77,Apple,04-10-2012,UPDATE 1-DOJ may sue Apple over ebooks as early as Wed-sources,0,"The Justice
Department could sue Apple Inc as early as Wednesday
over alleged electronic book price-fixing, while settling with
several publishers as early as this week, two people familiar
with the matter said.",91.41857147216795,89.77714538574219
78,Apple,04-10-2012,"Apple hits $600B market cap, still the world’s most valuable company",0,"Remember that time in the 1990′s when Apple was almost bankrupt and in disrepair? Take note, Yahoo, Apple just hit a $600 billion market cap today, the second company in the world to reach the milestone. Apple reached a high …",91.41857147216795,89.77714538574219
79,Apple,04-10-2012,"Microsoft to struggle vs. Apple, Google in tablets",0,"Microsoft's push into the tablet industry will see only limited success, with the U.S. software maker remaining a distant No. 3 behind Apple and Google, research firm Gartner said on Tuesday.",91.41857147216795,89.77714538574219
80,Apple,04-10-2012,"UPDATE 1-Microsoft to struggle vs Apple, Google in tablets",0,* Gartner sees 2012 tablet sales up 98 pct at 119 mln units,91.41857147216795,89.77714538574219
81,Apple,04-10-2012,Android beats Apple in China mobile platform race: report,0,"Google Inc's Android mobile operating system (OS) was the top smartphone platform in China last year, growing its market share by about 35 percent in the world's largest market for mobile phones, a Chinese technology research firm said.",91.41857147216795,89.77714538574219
82,Apple,04-10-2012,Android beats Apple in China mobile platform race-report,0,"Google Inc's Android
mobile operating system (OS) was the top smartphone platform in
China last year, growing its market share by about 35 percent in
the world's largest market for mobile phones, a Chinese
technology research firm said.",91.41857147216795,89.77714538574219
85,Apple,04-11-2012,"UPDATE 4-U.S. sues Apple, publishers in e-book price scheme",0,"* DOJ: Apple, publishers joined to fight Amazon discounts",90.88571166992188,89.45714569091797
88,Apple,04-11-2012,BBH Core Select fund picks Microsoft over Apple,0,"Brown Brothers Harriman (BBH) Core Select Fund prefers technology companies like Microsoft Corp, which sell mostly to businesses and have a stable customer base, to companies that depend on consumer demand, such as Apple Inc.",90.88571166992188,89.45714569091797
89,Apple,04-12-2012,Nest fights back: taps former Apple patent chief to take on Honeywell,0,"It’s become a tired pattern these days: create an innovative product, then sit back and watch the patent lawsuits pile up. That’s what happened to the smart thermostat maker Nest, which wowed the world with its gorgeous web-connected device in …",89.28571319580078,88.9671401977539
90,Apple,04-16-2012,"Apple agrees to another audit, this time for the environment",0,"Looks like there are more audits are in Apple’s future, this time exploring its environmental cost. The company has teamed up with the Institute of Public and Environmental Affairs (IPE) to audit one of its Chinese circuit-board factories. IPE, which …",87.15142822265625,82.87571716308594
91,Apple,04-16-2012,US STOCKS-Dow gains on retail sales but Apple bites Nasdaq,0,"The Dow rose on Monday as
robust U.S. retail sales data helped large-cap consumer stocks,
but a 4 percent slide in Apple hurt the Nasdaq.",87.15142822265625,82.87571716308594
92,Apple,04-16-2012,US STOCKS-Retail sales buoy stocks but Apple weighs on Nasdaq,0,"* U.S. March retail sales jump, but NY factory growth slows",87.15142822265625,82.87571716308594
93,Apple,04-17-2012,"US judge sends Apple, Samsung to settlement talks",1,"Apple Inc and Samsung Electronics Co Ltd agreed that their chief executives would participate in settlement talks to try to resolve a patent lawsuit over smartphone and tablet technology, according to a court filing.",82.7057113647461,87.0999984741211
96,Apple,04-18-2012,Apple wants trial on e-book price-fixing: lawyer,0,"Apple Inc wants to go to trial to defend itself against U.S. government allegations that it conspired with publishers to raise prices of electronic books, a lawyer for the Silicon Valley giant said in court on Wednesday.",87.67428588867188,86.90571594238281
97,Apple,04-18-2012,Apple wants trial on e-book price-fixing -lawyer,0,"Apple Inc wants to
go to trial to defend itself against U.S. government allegations
that it conspired with publishers to raise prices of electronic
books, a lawyer for the Silicon Valley giant said in court on
W edn esday.",87.67428588867188,86.90571594238281
98,Apple,04-18-2012,Apple investors brace for more turbulence,0,"Apple Inc's results will be dissected more closely than ever next week, after a share swoon raised concerns on Wall Street that the stock's gravity-defying rally may be losing steam.",87.67428588867188,86.90571594238281
99,Apple,04-18-2012,"U.S. judge sends Apple, Samsung to settlement talks",0,"Apple Inc and Samsung Electronics Co Ltd agreed that their chief executives would participate in settlement talks to try to resolve a patent lawsuit over smartphone and tablet technology, according to a court filing.",87.67428588867188,86.90571594238281
100,Apple,04-18-2012,"Apple, Amazon clouds have been dirty, Greenpeace reports",0,"Environmental activist group Greenpeace released a report today examining how energy-efficient and clean cloud computing really is. The group called out Apple and Amazon as having some of the dirtiest clouds in the industry. The report, titled “How Clean is …",87.67428588867188,86.90571594238281
101,Apple,04-19-2012,"Apple, Google, Intel fail to dismiss staff-poaching lawsuit",0,"Apple Inc, Google Inc, Intel Corp and four other technology companies were ordered by a judge to face an antitrust lawsuit claiming they illegally conspired not to poach each other's employees.",85.74571228027344,83.91999816894531
102,Apple,04-19-2012,"UPDATE 1-Apple, Google, Intel fail to end poaching lawsuit",0,"* Seven tech firms said to have conspired not to recruit
workers",85.74571228027344,83.91999816894531
104,Apple,04-23-2012,Five cautions for Apple stock enthusiasts,1,"As Apple announces its 2012 second fiscal quarter earnings on Tuesday, some analysts think the stock price could hit $1,000 and the company reach $1 trillion in market capitalization. I have no idea where Apple's price is going or what's in its secretive product pipeline, but I suspect that even with strong recent earnings, it will eventually fall from the tree it's on now.",81.51571655273438,81.67142486572266
105,Apple,04-23-2012,COLUMN-Five cautions for Apple stock enthusiasts,1,"As Apple announces
its 2012 second fiscal quarter earnings on Tuesday, some
analysts think the stock price could hit $1,000 and the company
reach $1 trillion in market capitalization. I have no idea where
Apple's price is going or what's in its secretive product
pipeline, but I suspect that even with strong recent earnings,
it will eventually fall from the tree it's on now.",81.51571655273438,81.67142486572266
110,Apple,04-24-2012,"Dow, S&P rise on earnings, Apple jumps late",0,"The Dow and the S&P 500 rose on Tuesday after strong earnings and upbeat outlooks from big manufacturers like 3M Co , but Apple's slide ahead of its results drove the Nasdaq down.",80.37285614013672,80.04000091552734
111,Apple,04-24-2012,"US STOCKS-Dow, S&P rise on earnings, Apple jumps late",0,"* Apple off in regular trade, but up after bell on revenues",80.37285614013672,80.04000091552734
112,Apple,04-24-2012,"US STOCKS-Dow, S&P climb on earnings, Apple bruises Nasdaq",0,"The Dow and the S&P 500 rose
on Tuesday after strong earnings and upbeat outlooks from big
manufacturers like 3M Co, but Apple's slide ahead of its
results drove the Nasdaq down.",80.37285614013672,80.04000091552734
113,Apple,04-24-2012,"US STOCKS-Dow, S&P up on earnings, Apple hits Nasdaq",0,"The Dow and the S&P 500 rose
on Tuesday after strong earnings from big manufacturers and
AT&T, but the Nasdaq fell with Apple and other large-cap tech
companies.",80.37285614013672,80.04000091552734
114,Apple,04-24-2012,Apple infringes on Motorola Mobility patent: ITC judge,0,"Apple Inc infringed on a Motorola Mobility Holdings Inc patent in making its popular iPhones, iPads and other products, a judge for the International Trade Commission ruled on Tuesday.",80.37285614013672,80.04000091552734
115,Apple,04-24-2012,UPDATE 2-Apple infringes on Motorola Mobility patent-ITC judge,0,"Apple Inc 
infringed on a Motorola Mobility Holdings Inc patent in
making its popular iPhones, iPads and other products, a judge
for the International Trade Commission ruled on Tuesday.",80.37285614013672,80.04000091552734
116,Apple,04-24-2012,Apple infringes on Motorola Mobility patent-ITC judge,0,"Apple Inc 
infringed on a Motorola Mobility  patent in making its
popular iPhones, iPads and other products, a judge for the
International Trade Commission ruled on Tuesday.",80.37285614013672,80.04000091552734
117,Apple,04-24-2012,"US STOCKS-Earnings boost Wall St; Apple, Netflix curb Nasdaq",0,"U.S. stocks rose on Tuesday
after strong earnings from big manufacturers and AT&T, but gains
were capped on Nasdaq ahead of results from Apple and after a
downbeat forecast from Netflix.",80.37285614013672,80.04000091552734
121,Apple,04-24-2012,Chinese investors scramble for a bite of Apple,0,China's rigid capital rules ban its citizens from investing directly in Apple Inc but that's not keeping them from seeking a piece of the iPhone maker's success by buying shares in its suppliers - and even companies rumored to be suppliers.,80.37285614013672,80.04000091552734
122,Apple,04-25-2012,"Apple's growth hinges on China, new devices",0,Sometimes even eye-popping results are not enough.,87.94857025146484,87.14286041259766
123,Apple,04-25-2012,"Apple growth hinges on China, new devices",0,Sometimes even eye-popping results are not enough.,87.94857025146484,87.14286041259766
124,Apple,04-25-2012,"WRAPUP 3-Apple growth hinges on China, new devices",0,"Sometimes even
eye-popping results are not enough. 	
    Apple Inc's O> shares may have risen 9 percent on
Wednesday on the back of another spectacular quarter that
included soaring iPhone sales in China, but the naysayers are
still asking if the most valuable American company might need
yet another",87.94857025146484,87.14286041259766
125,Apple,04-25-2012,"US STOCKS-Wall St pops on Apple's results, Fed's reassurance",0,* Apple at session high scores best daily gain in 3 years,87.94857025146484,87.14286041259766
126,Apple,04-25-2012,"Global shares rise on Apple, Bernanke's comments",0,Global shares jumped on Wednesday after stellar earnings from Apple Inc bolstered optimism over corporate earnings and Federal Reserve Chairman Ben Bernanke said the central bank was prepared to do more to aid the U.S. economy if necessary.,87.94857025146484,87.14286041259766
127,Apple,04-25-2012,"GLOBAL MARKETS-Shares rise on Apple, Bernanke's comments",0,"Global shares jumped on
W ednesday after stellar earnings from Apple Inc bolstered
optimism over corporate earnings and Federal Reserve Chairman
Ben Bernanke said the central bank was prepared to do more to
aid the U.S. economy if necessary.",87.94857025146484,87.14286041259766
128,Apple,04-25-2012,"US STOCKS-Wall St jumps on Apple's results, Fed reassurance",0,"U.S. stocks rallied on
Wednesday, with Apple's surge giving the  Nasdaq its biggest
gain of the year, while the Fed chairman reassured markets that
the central bank would do more if necessary to lift the economy.",87.94857025146484,87.14286041259766
129,Apple,04-25-2012,"WRAPUP 1-Apple growth hinges on China, new devices",0,"Apple Inc's 
surprisingly strong performance in China has soothed fears that
iPhone sales were losing steam, though analysts wondered how
long Chief Executive Tim Cook could sustain the company's
sizzling growth without a revolutionary new product.",87.94857025146484,87.14286041259766
130,Apple,04-25-2012,"GLOBAL MARKETS-Shares rise on Apple, Fed's outlook",0,"Global shares jumped on
W ednesday after better-than-expected earnings from Apple Inc
bolstered optimism over corporate earnings and the Federal
Reserve reiterated its expectation that interest rates would not
rise until late 2014 at the earliest.",87.94857025146484,87.14286041259766
131,Apple,04-25-2012,US STOCKS-Apple results put Nasdaq on track for best gain of year,0,"U.S. stocks rose on Wednesday
and the Nasdaq was on track for its best percentage gain for
2012 a day after Apple's blowout results further lifted optimism
about the strength of earnings.",87.94857025146484,87.14286041259766
133,Apple,04-25-2012,"RPT-US STOCKS-Wall St rallies as Apple soars, Fed on hold",0,"U.S. stocks rose on Wednesday
after Apple's blowout quarter overshadowed a drop in durable
goods and further lifted optimism in an earnings season that has
far outstripped expectations.",87.94857025146484,87.14286041259766
134,Apple,04-25-2012,"GLOBAL MARKETS-Shares rise on Apple, Fed causes no ripples",0,"* Euro hits 3-week high as debt fears ease, then pares gains",87.94857025146484,87.14286041259766
135,Apple,04-25-2012,"MARKET PULSE-US stocks to watch: Apple, Motorola Solutions, Boeing",0,Some U.S. stocks to watch on Wednesday:,87.94857025146484,87.14286041259766
136,Apple,04-25-2012,US STOCKS-Apple blowout quarter stokes Wall St,0,"U.S. stocks advanced on
Wednesday after a blowout quarter from Apple further lifted
optimism in an earnings season that has far outstripped
expectations.",87.94857025146484,87.14286041259766
137,Apple,04-25-2012,GLOBAL MARKETS-Apple results lift shares; bonds slip,0,"* Euro hits 3-week high as debt fears ease, then pares gains",87.94857025146484,87.14286041259766
138,Apple,04-25-2012,GLOBAL MARKETS-Shares jump on Apple results; euro trades flat,0,"* Euro hits 3-week high as debt fears ease, then pares gains",87.94857025146484,87.14286041259766
139,Apple,04-25-2012,US STOCKS-Wall Street surges on Apple results,0,"Wall Street jumped on
Wednesday after forecast-beating results from Apple cleared away
a weeks-old market overhang and lifted optimism in an earnings
season already far outstripping expectations.",87.94857025146484,87.14286041259766
140,Apple,04-25-2012,"RPT-GLOBAL MARKETS-Shares jump on Apple results, euro firms",0,* U.S. Fed meeting awaited for hints on future policy action,87.94857025146484,87.14286041259766
142,Apple,04-25-2012,UPDATE 2-Apple price targets hiked as iPhone sales soar,0,"Wall Street extended its love affair
with Apple Inc as strong iPhone sales allayed concerns
it was losing market share in the cut-throat smartphone market,
with analysts again rushing to raise price targets on the shares
of the world' most valuable company.",87.94857025146484,87.14286041259766
143,Apple,04-25-2012,US STOCKS-Futures point to higher open after Apple earnings,0,"U.S. stock index futures
pointed to a higher open on Wednesday after forecast-beating
results from Apple removed a weeks-old market overhang and
lifted optimism in a corporate earnings season that is already
far outstripping expectations.",87.94857025146484,87.14286041259766
144,Apple,04-25-2012,"MARKET PULSE-US stocks to watch: Apple, Motorola Solutions, WellPoint",0,Some U.S. stocks to watch on Wednesday:,87.94857025146484,87.14286041259766
