,Firm,Date,Headlines,Label,Description,Open,Close
0,Alphabet,02-03-2020,Alphabet shares slide despite earnings beat - CNBC,1,https://www.cnbc.com/2020/02/03/alphabet-googl-earnings-q4-2019.html,1461.6500244140625,1482.5999755859375
1,Alphabet,04-06-2020,Alphabet (GOOGL) Tracks Coronavirus Cases Using Location Data - Yahoo Finance,1,https://finance.yahoo.com/news/alphabet-googl-tracks-coronavirus-cases-114811293.html,1133.0,1183.18994140625
2,Alphabet,04-13-2020,Is Alphabet Inc Class A (GOOGL) Stock About to Get Hot Monday? - InvestorsObserver,1,https://www.investorsobserver.com/news/stock-update/is-alphabet-inc-class-a-googl-stock-about-to-get-hot-monday,1201.5,1210.4100341796875
3,Alphabet,04-14-2020,Why Alphabet Stock Jumped Today - Motley Fool,1,https://www.fool.com/investing/2020/04/14/why-alphabet-stock-jumped-today.aspx,1239.969970703125,1265.22998046875
4,Alphabet,04-14-2020,"$1,182.33 – $1,214.52: is It Good Range to Buy Alphabet Inc. (GOOGL)? - The News Heater",1,https://newsheater.com/2020/04/14/1182-33-1214-52-is-it-good-range-to-buy-alphabet-inc-googl/,1239.969970703125,1265.22998046875
5,Alphabet,04-15-2020,Alphabet (GOOGL) Stock Moves -0.63%: What You Should Know - Yahoo Finance,1,https://finance.yahoo.com/news/alphabet-googl-stock-moves-0-214509172.html,1246.510009765625,1257.300048828125
6,Alphabet,04-15-2020,Alphabet (GOOGL) Google to Update YouTube Music With Explore - Yahoo Finance,1,https://finance.yahoo.com/news/alphabet-googl-google-youtube-music-135301497.html,1246.510009765625,1257.300048828125
7,Alphabet,04-16-2020,"Alphabet (GOOGL) Stock Lost 0.63% Yesterday, CEO Told Employees Company Will Slow... - Coinspeaker",0,https://www.coinspeaker.com/alphabet-stock-slow-hiring/,1267.1400146484375,1257.4300537109375
8,Alphabet,04-16-2020,"Alphabet (GOOGL), Facebook (FB) on Watch as Barry Diller Sees 80% Drop in Ad Spend - StreetInsider.com",0,https://www.streetinsider.com/Rumors/Alphabet+%28GOOGL%29%2C+Facebook+%28FB%29+on+Watch+as+Barry+Diller+Sees+80%25+Drop+in+Ad+Spend/16749955.html,1267.1400146484375,1257.4300537109375
9,Alphabet,04-17-2020,Alphabet Stock Could Enter Major Downtrend - Investopedia,0,https://www.investopedia.com/alphabet-stock-could-enter-major-downtrend-4842382,1281.699951171875,1279.0
10,Alphabet,04-17-2020,Better Buy: Microsoft vs. Alphabet - Motley Fool,0,https://www.fool.com/investing/2020/04/17/better-buy-microsoft-vs-alphabet.aspx,1281.699951171875,1279.0
11,Alphabet,04-20-2020,Societe Generale lifts Alphabet Inc. [GOOGL] price estimate. Who else is bullish? - The DBT News,0,https://dbtnews.com/2020/04/20/societe-generale-lifts-alphabet-inc-googl-price-estimate-who-else-is-bullish/,1269.8900146484375,1261.1500244140625
12,Alphabet,04-20-2020,"Alphabet Inc (GOOGL) Up 1.72%, Breaks Above 50 and 200 Day Averages; Pin Bar Pattern Appearing on Chart - CFDTrading",0,https://www.cfdtrading.com/alphabet-inc-googl-up-1-72-breaks-above-50-and-200-day-averages-pin-bar-pattern-appearing-on-chart/35994/,1269.8900146484375,1261.1500244140625
13,Alphabet,04-21-2020,Alphabet (GOOGL) Expands Coronavirus Screener Availability - Yahoo Finance,0,https://finance.yahoo.com/news/alphabet-googl-expands-coronavirus-screener-161904050.html,1242.7099609375,1212.1600341796875
14,Alphabet,04-21-2020,Alphabet (GOOGL) Stock Price Down 1% Now as Google Works on Its New Smart Debit... - Coinspeaker,0,https://www.coinspeaker.com/alphabet-googl-stock-debit-card/,1242.7099609375,1212.1600341796875
15,Alphabet,04-22-2020,Alphabet (GOOGL): Free Ad Listings To Be Offered On Google Shopping Starting This Month - Pulse 2.0,1,https://pulse2.com/google-shopping-free-ad-listings/,1241.1099853515625,1258.4100341796875
16,Alphabet,04-22-2020,Riding the Trend or Protecting Profits: Alphabet Inc. (GOOGL) - The News Heater,1,https://newsheater.com/2020/04/22/riding-the-trend-or-protecting-profits-alphabet-inc-googl-2/,1241.1099853515625,1258.4100341796875
17,Alphabet,04-22-2020,Alphabet Inc. [GOOGL] Stock trading around $1212.16 per share: What’s Next? - The DBT News,1,https://dbtnews.com/2020/04/22/alphabet-inc-googl-stock-trading-around-1212-16-per-share-whats-next/,1241.1099853515625,1258.4100341796875
18,Alphabet,04-23-2020,Alphabet (GOOGL) Gains As Market Dips: What You Should Know - Yahoo Finance,1,https://finance.yahoo.com/news/alphabet-googl-gains-market-dips-214509306.html,1265.739990234375,1271.1700439453125
19,Alphabet,04-23-2020,How Does Alphabet Inc Class A (GOOGL) Stock Stack Up in the Communication Services Sector? - InvestorsObserver,1,https://www.investorsobserver.com/news/stock-update/how-does-alphabet-inc-class-a-googl-stock-stack-up-in-the-communication-services-sector,1265.739990234375,1271.1700439453125
20,Alphabet,04-24-2020,"Virtual Productivity: Google Cloud, YouTube in Focus As Alphabet Releases Q1 Earnings - Yahoo Finance",1,https://finance.yahoo.com/news/virtual-productivity-google-cloud-youtube-151659264.html,1255.0,1276.5999755859375
21,Alphabet,04-24-2020,Thinking about Alphabet Stock? Get the Key Facts First - Market Realist,1,https://marketrealist.com/2020/04/thinking-about-alphabet-stock-get-key-facts-first/,1255.0,1276.5999755859375
22,Alphabet,04-24-2020,why Alphabet Inc. [GOOGL] is a Good Choice for Investors After New Price Target of $1502.95 - The DBT News,1,https://dbtnews.com/2020/04/24/why-alphabet-inc-googl-is-a-good-choice-for-investors-after-new-price-target-of-1502-95/,1255.0,1276.5999755859375
23,Alphabet,04-24-2020,"Alphabet Inc (GOOGL) Up 1.01%, Crosses 50 Day Moving Average; Pin Bar Pattern Appearing on Chart - CFDTrading",1,https://www.cfdtrading.com/alphabet-inc-googl-up-1-01-crosses-50-day-moving-average-pin-bar-pattern-appearing-on-chart/40002/,1255.0,1276.5999755859375
24,Alphabet,04-27-2020,Alphabet Inc (GOOGL) Moves Up For the 3rd Day In A Row; Crosses 200 Day Moving Average - CFDTrading,0,https://www.cfdtrading.com/alphabet-inc-googl-moves-up-for-the-3rd-day-in-a-row-crosses-200-day-moving-average/41343/,1292.0,1270.8599853515625
25,Alphabet,04-27-2020,RBC Capital Reiterates Outperform Rating on Alphabet (GOOGL) Ahead of 1Q Report - StreetInsider.com,0,https://www.streetinsider.com/Analyst+Comments/RBC+Capital+Reiterates+Outperform+Rating+on+Alphabet+%28GOOGL%29+Ahead+of+1Q+Report/16787133.html,1292.0,1270.8599853515625
26,Alphabet,04-28-2020,Alphabet stock rises more than 7% as ad slowdown turns out to be less than feared - CNBC,0,https://www.cnbc.com/2020/04/28/alphabet-googl-earnings-q1-2020.html,1283.199951171875,1232.5899658203125
27,Alphabet,04-28-2020,Want to Buy Alphabet on Earnings? Check Out This Chart First - TheStreet,0,https://www.thestreet.com/investing/alphabet-google-googl-stock-earnings-preview,1283.199951171875,1232.5899658203125
