,Firm,Date,Headlines,Label,Description,Open,Close
0,JetBlue,10-28-2019,JetBlue Extends Earnings Rally After Analyst Upgrade - Investopedia,1,https://www.investopedia.com/jetblue-extends-earnings-rally-after-analyst-upgrade-4774397,19.079999923706055,19.229999542236328
1,JetBlue,12-11-2019,JetBlue shares fall 2% premarket after airline offers soft outlook for Q4 RASM - MarketWatch,0,https://www.marketwatch.com/story/jetblue-shares-fall-2-premarket-after-airline-offers-soft-outlook-for-q4-rasm-2019-12-11,18.799999237060547,18.729999542236328
2,JetBlue,01-09-2020,Did You Miss JetBlue Airways's (NASDAQ:JBLU) 26% Share Price Gain? - Yahoo Finance,1,https://finance.yahoo.com/news/did-miss-jetblue-airwayss-nasdaq-141508509.html,18.68000030517578,18.709999084472656
3,JetBlue,01-23-2020,Where Is JetBlue Airways Headed in 2020? - Motley Fool,1,https://www.fool.com/investing/2020/01/23/where-is-jetblue-airways-headed-in-2020.aspx,19.850000381469727,21.06999969482422
4,JetBlue,01-23-2020,"JetBlue's (JBLU) Q4 Earnings Surpass Estimates, Increase Y/Y - Yahoo Finance",1,https://finance.yahoo.com/news/jetblues-jblu-q4-earnings-surpass-220610761.html,19.850000381469727,21.06999969482422
5,JetBlue,01-28-2020,JetBlue: Investors Are Still Missing The Opportunity - Seeking Alpha,1,https://seekingalpha.com/article/4319457-jetblue-investors-are-still-missing-opportunity,20.239999771118164,20.270000457763672
6,JetBlue,01-31-2020,Why JetBlue Airways Could Be the Best Airline Stock of 2020 - Motley Fool,0,https://www.fool.com/investing/2020/01/31/why-jetblue-airways-is-the-hottest-us-airline-so-f.aspx,20.1299991607666,19.829999923706055
7,JetBlue,02-07-2020,JetBlue Airways Stock Is the Best Value Play Among Airlines - Barron's,0,https://www.barrons.com/articles/jetblue-airways-stock-is-the-best-value-play-among-airlines-51581077701,20.020000457763672,19.940000534057617
8,JetBlue,02-10-2020,Are JetBlue Airways Corporation’s (NASDAQ:JBLU) Returns On Investment Worth Your While? - Yahoo Finance,1,https://finance.yahoo.com/news/jetblue-airways-corporation-nasdaq-jblu-175341456.html,19.899999618530273,20.020000457763672
9,JetBlue,02-25-2020,"Is JetBlue (JBLU) a Solid Growth Stock? 3 Reasons to Think "" Yes "" - Yahoo Finance",0,https://finance.yahoo.com/news/jetblue-jblu-solid-growth-stock-174505606.html,19.530000686645508,18.25
10,JetBlue,02-25-2020,Is JetBlue Airways (JBLU) Stock Undervalued Right Now? - Yahoo Finance,0,https://finance.yahoo.com/news/jetblue-airways-jblu-stock-undervalued-165004348.html,19.530000686645508,18.25
11,JetBlue,03-03-2020,How JetBlue Airways (JBLU) Stock Stands Out in a Strong Industry - Yahoo Finance,0,https://finance.yahoo.com/news/jetblue-airways-jblu-stock-stands-134901947.html,16.079999923706055,15.010000228881836
12,JetBlue,03-05-2020,Why Shares of JetBlue Are Down Today - Motley Fool,0,https://www.fool.com/investing/2020/03/05/why-shares-of-jetblue-are-down-today.aspx,14.90999984741211,13.859999656677246
13,JetBlue,03-05-2020,Implied Volatility Surging for JetBlue (JBLU) Stock Options - Yahoo Finance,0,https://finance.yahoo.com/news/implied-volatility-surging-jetblue-jblu-135301566.html,14.90999984741211,13.859999656677246
14,JetBlue,03-11-2020,Why Shares of JetBlue Were Up Today - The Motley Fool,0,https://www.fool.com/investing/2020/03/10/why-shares-of-jetblue-were-up-today.aspx,14.0,13.569999694824219
15,JetBlue,03-18-2020,JetBlue Provides Update Related To Coronavirus - Business Wire,0,https://www.businesswire.com/news/home/20200318005168/en/%C2%A0JetBlue-Update-Related-Coronavirus,8.819999694824219,7.659999847412109
16,JetBlue,03-31-2020,Why Shares of JetBlue Airways Fell Today - The Motley Fool,0,https://www.fool.com/investing/2020/03/30/why-shares-of-jetblue-airways-fell-today.aspx,9.170000076293945,8.949999809265137
17,JetBlue,04-03-2020,JetBlue is burning through $10 million a day: CEO - MarketWatch,0,https://www.marketwatch.com/story/jetblue-is-burning-through-10-million-a-day-ceo-2020-04-03,7.800000190734863,7.480000019073486
