,Firm,Date,Headlines,Label,Description,Open,Close
0,Microsoft,04-13-2020,Microsoft's (MSFT) Teams Sees Growth Amid Coronavirus Scare - Nasdaq,1,https://www.nasdaq.com/articles/microsofts-msft-teams-sees-growth-amid-coronavirus-scare-2020-04-13,164.35000610351562,165.50999450683594
1,Microsoft,04-14-2020,Microsoft (MSFT) Invests in AI for Health to Fight COVID-19 - Yahoo Finance,1,https://finance.yahoo.com/news/microsoft-msft-invests-ai-health-153803961.html,169.0,173.6999969482422
2,Microsoft,04-14-2020,Microsoft Corporation (NASDAQ:MSFT): A Fundamentally Weighted Stock for Long-Term Investors - State Reviewer,1,https://statereviewer.com/2020/04/14/microsoft-corporation-nasdaqmsft-a-fundamentally-weighted-stock-for-long-term-investors/,169.0,173.6999969482422
3,Microsoft,04-15-2020,Microsoft (MSFT) Stock Moves -1.05%: What You Should Know - Yahoo Finance,1,https://finance.yahoo.com/news/microsoft-msft-stock-moves-1-214509854.html,171.1999969482422,171.8800048828125
4,Microsoft,04-16-2020,"If A Downturn Comes, Microsoft Will Eat Zoom's Lunch - Seeking Alpha",1,https://seekingalpha.com/article/4338004-downturn-comes-microsoft-will-eat-zooms-lunch,174.3000030517578,177.0399932861328
5,Microsoft,04-16-2020,Microsoft (MSFT) Partners GE Healthcare to Fight Coronavirus - Yahoo Finance,1,https://finance.yahoo.com/news/microsoft-msft-partners-ge-healthcare-202008809.html,174.3000030517578,177.0399932861328
6,Microsoft,04-16-2020,Here's a Way to Trade Microsoft Corporation (MSFT) - The News Heater,1,https://newsheater.com/2020/04/16/heres-a-way-to-trade-microsoft-corporation-msft-4/,174.3000030517578,177.0399932861328
7,Microsoft,04-16-2020,Microsoft (MSFT) may be a safe haven till the COVID-19 crisis subsides - AlphaStreet,1,https://news.alphastreet.com/microsoft-msft-may-be-a-safe-haven-till-the-covid-19-crisis-subsides/,174.3000030517578,177.0399932861328
8,Microsoft,04-16-2020,"Microsoft Corporation [MSFT] stock Reiterated by Wells Fargo analyst, price target now $205 - The DBT News",1,https://dbtnews.com/2020/04/16/microsoft-corporation-msft-stock-reiterated-by-wells-fargo-analyst-price-target-now-205/,174.3000030517578,177.0399932861328
9,Microsoft,04-16-2020,"Microsoft (MSFT) Stock Down 1%, Pentagon Watchdog Clears Microsoft’s Cloud Win over... - Coinspeaker",1,https://www.coinspeaker.com/microsoft-msft-stock-pentagon/,174.3000030517578,177.0399932861328
10,Microsoft,04-17-2020,Microsoft (MSFT) Partners With NBA to Enhance Fan Experience - Yahoo Finance,0,https://finance.yahoo.com/news/microsoft-msft-partners-nba-enhance-152803410.html,179.5,178.60000610351562
11,Microsoft,04-17-2020,"Investorideas.com Newswire - The AI Eye: Microsoft (NasdaqGS: $MSFT) Announces AI and Cloud Alliance with NBA, Transports Vervaeke Selects Mist Platform from Juniper Networks (NYSE: $JNPR) for Digital Transformation - InvestorIdeas.com",0,https://www.investorideas.com/news/2020/artificial-intelligence/04171AIEye-MSFT-JNPR.asp,179.5,178.60000610351562
12,Microsoft,04-17-2020,Better Buy: Microsoft vs. Alphabet - Motley Fool,0,https://www.fool.com/investing/2020/04/17/better-buy-microsoft-vs-alphabet.aspx,179.5,178.60000610351562
13,Microsoft,04-20-2020,Microsoft Corporation (NASDAQ:MSFT): A Stocks With Stellar Fundamentals? - State Reviewer,0,https://statereviewer.com/2020/04/20/microsoft-corporation-nasdaqmsft-a-stocks-with-stellar-fundamentals/,176.6300048828125,175.05999755859375
14,Microsoft,04-21-2020,5-Star Analyst Pounds the Table on Microsoft (MSFT) Stock - Yahoo Finance,0,https://finance.yahoo.com/news/5-star-analyst-pounds-table-230730897.html,173.5,167.82000732421875
15,Microsoft,04-21-2020,Industry Analysis: Should You Buy Microsoft Corporation (MSFT) in Software - Infrastructure? - InvestorsObserver,0,https://www.investorsobserver.com/news/stock-update/industry-analysis-should-you-buy-microsoft-corporation-msft-in-software-infrastructure-3,173.5,167.82000732421875
16,Microsoft,04-21-2020,Microsoft hires GE Healthcare vet - Seeking Alpha,0,https://seekingalpha.com/news/3562663-microsoft-hires-ge-healthcare-vet,173.5,167.82000732421875
17,Microsoft,04-21-2020,"This Is the Next Big Opportunity in Tech, and Microsoft Is Leading the Pack - Motley Fool",0,https://www.fool.com/investing/2020/04/21/next-big-opportunity-tech-microsoft-lead.aspx,173.5,167.82000732421875
